CHECK_A,DURATION,C_HIST,PURPOSE,AMOUNT,SAVE_A,EMPLOY,INSTALL_R,PERSONAL,GUARANTEE,RESIDENCE,PROPERTY,AGE,INSTALL_P,HOUSING,N_EXIST,JOB,N_PEOPLE,TEL,FOREIGN,CREDIT
LT_0DM,6,critical_acc,radio_tv,1169,NO_SAVINGS_ACC,GT_7YR,4,MALE_SINGLE,none,4,real_estate,67,none,own,2,skilled_office,1,yes,yes,0
0to200DM,48,existing_paid,radio_tv,5951,lt_100DM,1to4YR,2,FEMALE_DIVORCED,none,2,real_estate,22,none,own,1,skilled_office,1,none,yes,1
NO_CHECK_A,12,critical_acc,education,2096,lt_100DM,4to7YR,2,MALE_SINGLE,none,3,real_estate,49,none,own,1,unskilled_res,2,none,yes,0
LT_0DM,42,existing_paid,furn_equip,7882,lt_100DM,4to7YR,2,MALE_SINGLE,guarantor,4,savings,45,none,for_free,1,skilled_office,2,none,yes,0
LT_0DM,24,delay_in_past,car_new,4870,lt_100DM,1to4YR,3,MALE_SINGLE,none,4,no_property,53,none,for_free,2,skilled_office,2,none,yes,1
NO_CHECK_A,36,existing_paid,education,9055,NO_SAVINGS_ACC,1to4YR,2,MALE_SINGLE,none,4,no_property,35,none,for_free,1,unskilled_res,2,yes,yes,0
NO_CHECK_A,24,existing_paid,furn_equip,2835,500_1000DM,GT_7YR,3,MALE_SINGLE,none,4,savings,53,none,own,1,skilled_office,1,none,yes,0
0to200DM,36,existing_paid,car_used,6948,lt_100DM,1to4YR,2,MALE_SINGLE,none,2,vehicle,35,none,rent,1,mgmt_selfemp,1,yes,yes,0
NO_CHECK_A,12,existing_paid,radio_tv,3059,GT_1000DM,4to7YR,2,MALE_DIVORCED,none,4,real_estate,61,none,own,1,unskilled_res,1,none,yes,0
0to200DM,30,critical_acc,car_new,5234,lt_100DM,unemployed,4,MALE_MARRIED,none,2,vehicle,28,none,own,2,mgmt_selfemp,1,none,yes,1
0to200DM,12,existing_paid,car_new,1295,lt_100DM,LT_1YR,3,FEMALE_DIVORCED,none,1,vehicle,25,none,rent,1,skilled_office,1,none,yes,1
LT_0DM,48,existing_paid,business,4308,lt_100DM,LT_1YR,3,FEMALE_DIVORCED,none,4,savings,24,none,rent,1,skilled_office,1,none,yes,1
0to200DM,12,existing_paid,radio_tv,1567,lt_100DM,1to4YR,1,FEMALE_DIVORCED,none,1,vehicle,22,none,own,1,skilled_office,1,yes,yes,0
LT_0DM,24,critical_acc,car_new,1199,lt_100DM,GT_7YR,4,MALE_SINGLE,none,4,vehicle,60,none,own,2,unskilled_res,1,none,yes,1
LT_0DM,15,existing_paid,car_new,1403,lt_100DM,1to4YR,2,FEMALE_DIVORCED,none,4,vehicle,28,none,rent,1,skilled_office,1,none,yes,0
LT_0DM,24,existing_paid,radio_tv,1282,100_500DM,1to4YR,4,FEMALE_DIVORCED,none,2,vehicle,32,none,own,1,unskilled_res,1,none,yes,1
NO_CHECK_A,24,critical_acc,radio_tv,2424,NO_SAVINGS_ACC,GT_7YR,4,MALE_SINGLE,none,4,savings,53,none,own,2,skilled_office,1,none,yes,0
LT_0DM,30,no_credit,business,8072,NO_SAVINGS_ACC,LT_1YR,2,MALE_SINGLE,none,3,vehicle,25,bank,own,3,skilled_office,1,none,yes,0
0to200DM,24,existing_paid,car_used,12579,lt_100DM,GT_7YR,4,FEMALE_DIVORCED,none,2,no_property,44,none,for_free,1,mgmt_selfemp,1,yes,yes,1
NO_CHECK_A,24,existing_paid,radio_tv,3430,500_1000DM,GT_7YR,3,MALE_SINGLE,none,2,vehicle,31,none,own,1,skilled_office,2,yes,yes,0
NO_CHECK_A,9,critical_acc,car_new,2134,lt_100DM,1to4YR,4,MALE_SINGLE,none,4,vehicle,48,none,own,3,skilled_office,1,yes,yes,0
LT_0DM,6,existing_paid,radio_tv,2647,500_1000DM,1to4YR,2,MALE_SINGLE,none,3,real_estate,44,none,rent,1,skilled_office,2,none,yes,0
LT_0DM,10,critical_acc,car_new,2241,lt_100DM,LT_1YR,1,MALE_SINGLE,none,3,real_estate,48,none,rent,2,unskilled_res,2,none,no,0
0to200DM,12,critical_acc,car_used,1804,100_500DM,LT_1YR,3,MALE_SINGLE,none,4,savings,44,none,own,1,skilled_office,1,none,yes,0
NO_CHECK_A,10,critical_acc,furn_equip,2069,NO_SAVINGS_ACC,1to4YR,2,MALE_MARRIED,none,1,vehicle,26,none,own,2,skilled_office,1,none,no,0
LT_0DM,6,existing_paid,furn_equip,1374,lt_100DM,1to4YR,1,MALE_SINGLE,none,2,real_estate,36,bank,own,1,unskilled_res,1,yes,yes,0
NO_CHECK_A,6,no_credit,radio_tv,426,lt_100DM,GT_7YR,4,MALE_MARRIED,none,4,vehicle,39,none,own,1,unskilled_res,1,none,yes,0
GT_200DM,12,credit_thisbank_paid,radio_tv,409,GT_1000DM,1to4YR,3,FEMALE_DIVORCED,none,3,real_estate,42,none,rent,2,skilled_office,1,none,yes,0
0to200DM,7,existing_paid,radio_tv,2415,lt_100DM,1to4YR,3,MALE_SINGLE,guarantor,2,real_estate,34,none,own,1,skilled_office,1,none,yes,0
LT_0DM,60,delay_in_past,business,6836,lt_100DM,GT_7YR,3,MALE_SINGLE,none,4,no_property,63,none,own,2,skilled_office,1,yes,yes,1
0to200DM,18,existing_paid,business,1913,GT_1000DM,LT_1YR,3,MALE_MARRIED,none,3,real_estate,36,bank,own,1,skilled_office,1,yes,yes,0
LT_0DM,24,existing_paid,furn_equip,4020,lt_100DM,1to4YR,2,MALE_SINGLE,none,2,vehicle,27,stores,own,1,skilled_office,1,none,yes,0
0to200DM,18,existing_paid,car_new,5866,100_500DM,1to4YR,2,MALE_SINGLE,none,2,vehicle,30,none,own,2,skilled_office,1,yes,yes,0
NO_CHECK_A,12,critical_acc,business,1264,NO_SAVINGS_ACC,GT_7YR,4,MALE_SINGLE,none,4,no_property,57,none,rent,1,unskilled_res,1,none,yes,0
GT_200DM,12,existing_paid,furn_equip,1474,lt_100DM,LT_1YR,4,FEMALE_DIVORCED,none,1,savings,33,bank,own,1,mgmt_selfemp,1,yes,yes,0
0to200DM,45,critical_acc,radio_tv,4746,lt_100DM,LT_1YR,4,MALE_SINGLE,none,2,savings,25,none,own,2,unskilled_res,1,none,yes,1
NO_CHECK_A,48,critical_acc,education,6110,lt_100DM,1to4YR,1,MALE_SINGLE,none,3,no_property,31,bank,for_free,1,skilled_office,1,yes,yes,0
GT_200DM,18,existing_paid,radio_tv,2100,lt_100DM,1to4YR,4,MALE_SINGLE,co-applicant,2,real_estate,37,stores,own,1,skilled_office,1,none,yes,1
GT_200DM,10,existing_paid,dom_app,1225,lt_100DM,1to4YR,2,MALE_SINGLE,none,2,vehicle,37,none,own,1,skilled_office,1,yes,yes,0
0to200DM,9,existing_paid,radio_tv,458,lt_100DM,1to4YR,4,MALE_SINGLE,none,3,real_estate,24,none,own,1,skilled_office,1,none,yes,0
NO_CHECK_A,30,existing_paid,radio_tv,2333,500_1000DM,GT_7YR,4,MALE_SINGLE,none,2,vehicle,30,bank,own,1,mgmt_selfemp,1,none,yes,0
0to200DM,12,existing_paid,radio_tv,1158,500_1000DM,1to4YR,3,MALE_DIVORCED,none,1,vehicle,26,none,own,1,skilled_office,1,yes,yes,0
0to200DM,18,delay_in_past,repairs,6204,lt_100DM,1to4YR,2,MALE_SINGLE,none,4,real_estate,44,none,own,1,unskilled_res,2,yes,yes,0
LT_0DM,30,critical_acc,car_used,6187,100_500DM,4to7YR,1,MALE_MARRIED,none,4,vehicle,24,none,rent,2,skilled_office,1,none,yes,0
LT_0DM,48,critical_acc,car_used,6143,lt_100DM,GT_7YR,4,FEMALE_DIVORCED,none,4,no_property,58,stores,for_free,2,unskilled_res,1,none,yes,1
NO_CHECK_A,11,critical_acc,car_new,1393,lt_100DM,LT_1YR,4,FEMALE_DIVORCED,none,4,vehicle,35,none,own,2,mgmt_selfemp,1,none,yes,0
NO_CHECK_A,36,existing_paid,radio_tv,2299,500_1000DM,GT_7YR,4,MALE_SINGLE,none,4,vehicle,39,none,own,1,skilled_office,1,none,yes,0
LT_0DM,6,existing_paid,car_used,1352,500_1000DM,unemployed,1,FEMALE_DIVORCED,none,2,savings,23,none,rent,1,unskilled_non_res,1,yes,yes,0
NO_CHECK_A,11,critical_acc,car_new,7228,lt_100DM,1to4YR,1,MALE_SINGLE,none,4,savings,39,none,own,2,unskilled_res,1,none,yes,0
NO_CHECK_A,12,existing_paid,radio_tv,2073,100_500DM,1to4YR,4,FEMALE_DIVORCED,co-applicant,2,real_estate,28,none,own,1,skilled_office,1,none,yes,0
