Store,Day Of Week,Date,Customers,Open,Promotion,State Holiday,School Holiday
1044,1,5/31/2016,884,1,1,0,0
1041,1,5/31/2016,1032,1,1,0,1
1036,1,5/31/2016,1070,1,1,0,0
1047,1,5/31/2016,2043,1,1,0,0
1012,1,5/31/2016,1239,1,1,0,0
1037,1,5/31/2016,716,1,1,0,1
1027,1,5/31/2016,865,1,1,0,0
1005,1,5/31/2016,720,1,1,0,0
1011,1,5/31/2016,2776,1,1,0,0
1004,1,5/31/2016,1328,1,1,0,0
1043,1,5/31/2016,541,1,1,0,1
1001,1,5/31/2016,870,1,1,0,1
1048,1,5/31/2016,1002,1,1,0,0
1030,1,5/31/2016,690,1,1,0,0
1035,1,5/31/2016,1025,1,1,0,1
1013,1,5/31/2016,678,1,1,0,0
1029,1,5/31/2016,634,1,1,0,0
1042,1,5/31/2016,1219,1,1,0,0
1017,1,5/31/2016,1399,1,1,0,1
1032,1,5/31/2016,669,1,1,0,0
1024,1,5/31/2016,1251,1,1,0,0
1006,1,5/31/2016,404,1,1,0,1
1007,1,5/31/2016,908,1,1,0,1
1002,1,5/31/2016,886,1,1,0,1
1019,1,5/31/2016,1219,1,1,0,0
1000,1,5/31/2016,907,1,1,0,1
1009,1,5/31/2016,1788,1,1,0,0
1023,1,5/31/2016,487,1,1,0,1
1016,1,5/31/2016,3904,1,1,0,0
1050,1,5/31/2016,778,1,1,0,0
1031,1,5/31/2016,830,1,1,0,1
1010,1,5/31/2016,738,1,1,0,0
1034,1,5/31/2016,714,1,1,0,0
1039,1,5/31/2016,544,1,1,0,0
1033,1,5/31/2016,523,1,1,0,0
1045,1,5/31/2016,1419,1,1,0,0
1015,1,5/31/2016,1150,1,1,0,0
1022,1,5/31/2016,934,1,1,0,0
1040,1,5/31/2016,533,1,1,0,0
1046,1,5/31/2016,1347,1,1,0,0
1021,1,5/31/2016,773,1,1,0,0
1028,1,5/31/2016,919,1,1,0,0
1008,1,5/31/2016,1042,1,1,0,0
1025,1,5/31/2016,771,1,1,0,1
1014,1,5/31/2016,892,1,1,0,0
1020,1,5/31/2016,1048,1,1,0,0
1038,1,5/31/2016,499,1,1,0,1
1003,1,5/31/2016,1059,1,1,0,0
1018,1,5/31/2016,1407,1,1,0,0
1026,1,5/31/2016,631,1,1,0,0
1049,1,5/31/2016,1332,1,1,0,0
1044,7,5/30/2016,0,0,0,0,0
1041,7,5/30/2016,0,0,0,0,0
1036,7,5/30/2016,0,0,0,0,0
1047,7,5/30/2016,0,0,0,0,0
1012,7,5/30/2016,0,0,0,0,0
1037,7,5/30/2016,0,0,0,0,0
1027,7,5/30/2016,0,0,0,0,0
1005,7,5/30/2016,0,0,0,0,0
1011,7,5/30/2016,2922,1,0,0,0
1004,7,5/30/2016,0,0,0,0,0
1043,7,5/30/2016,0,0,0,0,0
1001,7,5/30/2016,0,0,0,0,0
1048,7,5/30/2016,0,0,0,0,0
1030,7,5/30/2016,0,0,0,0,0
1035,7,5/30/2016,0,0,0,0,0
1013,7,5/30/2016,0,0,0,0,0
1029,7,5/30/2016,0,0,0,0,0
1042,7,5/30/2016,0,0,0,0,0
1017,7,5/30/2016,0,0,0,0,0
1032,7,5/30/2016,0,0,0,0,0
1024,7,5/30/2016,0,0,0,0,0
1006,7,5/30/2016,0,0,0,0,0
1007,7,5/30/2016,0,0,0,0,0
1002,7,5/30/2016,0,0,0,0,0
1019,7,5/30/2016,0,0,0,0,0
1000,7,5/30/2016,0,0,0,0,0
1009,7,5/30/2016,0,0,0,0,0
1023,7,5/30/2016,0,0,0,0,0
1016,7,5/30/2016,3410,1,0,0,0
1050,7,5/30/2016,0,0,0,0,0
1031,7,5/30/2016,0,0,0,0,0
1010,7,5/30/2016,0,0,0,0,0
1034,7,5/30/2016,0,0,0,0,0
1039,7,5/30/2016,0,0,0,0,0
1033,7,5/30/2016,0,0,0,0,0
1045,7,5/30/2016,0,0,0,0,0
1015,7,5/30/2016,0,0,0,0,0
1022,7,5/30/2016,0,0,0,0,0
1040,7,5/30/2016,0,0,0,0,0
1046,7,5/30/2016,0,0,0,0,0
1021,7,5/30/2016,0,0,0,0,0
1028,7,5/30/2016,0,0,0,0,0
1008,7,5/30/2016,0,0,0,0,0
1025,7,5/30/2016,0,0,0,0,0
1014,7,5/30/2016,0,0,0,0,0
1020,7,5/30/2016,0,0,0,0,0
1038,7,5/30/2016,0,0,0,0,0
1003,7,5/30/2016,0,0,0,0,0
1018,7,5/30/2016,0,0,0,0,0
1026,7,5/30/2016,0,0,0,0,0
1049,7,5/30/2016,0,0,0,0,0
1044,6,5/29/2016,615,1,0,0,0
1041,6,5/29/2016,535,1,0,0,0
1036,6,5/29/2016,403,1,0,0,0
1047,6,5/29/2016,1386,1,0,0,0
1012,6,5/29/2016,569,1,0,0,0
1037,6,5/29/2016,769,1,0,0,0
1027,6,5/29/2016,364,1,0,0,0
1005,6,5/29/2016,618,1,0,0,0
1011,6,5/29/2016,2016,1,0,0,0
1004,6,5/29/2016,700,1,0,0,0
1043,6,5/29/2016,523,1,0,0,0
1001,6,5/29/2016,756,1,0,0,0
1048,6,5/29/2016,566,1,0,0,0
1030,6,5/29/2016,603,1,0,0,0
1035,6,5/29/2016,784,1,0,0,0
1013,6,5/29/2016,383,1,0,0,0
1029,6,5/29/2016,290,1,0,0,0
1042,6,5/29/2016,736,1,0,0,0
1017,6,5/29/2016,1069,1,0,0,0
