Month,Quantity
01-01-1956,93.2
01-02-1956,96
01-03-1956,95.2
01-04-1956,77.1
01-05-1956,70.9
01-06-1956,64.8
01-07-1956,70.1
01-08-1956,77.3
01-09-1956,79.5
01-10-1956,100.6
01-11-1956,100.7
01-12-1956,107.1
01-01-1957,95.9
01-02-1957,82.8
01-03-1957,83.3
01-04-1957,80
01-05-1957,80.4
01-06-1957,67.5
01-07-1957,75.7
01-08-1957,71.1
01-09-1957,89.3
01-10-1957,101.1
01-11-1957,105.2
01-12-1957,114.1
01-01-1958,96.3
01-02-1958,84.4
01-03-1958,91.2
01-04-1958,81.9
01-05-1958,80.5
01-06-1958,70.4
01-07-1958,74.8
01-08-1958,75.9
01-09-1958,86.3
01-10-1958,98.7
01-11-1958,100.9
01-12-1958,113.8
01-01-1959,89.8
01-02-1959,84.4
01-03-1959,87.2
01-04-1959,85.6
01-05-1959,72
01-06-1959,69.2
01-07-1959,77.5
01-08-1959,78.1
01-09-1959,94.3
01-10-1959,97.7
01-11-1959,100.2
01-12-1959,116.4
01-01-1960,97.1
01-02-1960,93
01-03-1960,96
01-04-1960,80.5
01-05-1960,76.1
01-06-1960,69.9
01-07-1960,73.6
01-08-1960,92.6
01-09-1960,94.2
01-10-1960,93.5
01-11-1960,108.5
01-12-1960,109.4
01-01-1961,105.1
01-02-1961,92.5
01-03-1961,97.1
01-04-1961,81.4
01-05-1961,79.1
01-06-1961,72.1
01-07-1961,78.7
01-08-1961,87.1
01-09-1961,91.4
01-10-1961,109.9
01-11-1961,116.3
01-12-1961,113
01-01-1962,100
01-02-1962,84.8
01-03-1962,94.3
01-04-1962,87.1
01-05-1962,90.3
01-06-1962,72.4
01-07-1962,84.9
01-08-1962,92.7
01-09-1962,92.2
01-10-1962,114.9
01-11-1962,112.5
01-12-1962,118.3
01-01-1963,106
01-02-1963,91.2
01-03-1963,96.6
01-04-1963,96.3
01-05-1963,88.2
01-06-1963,70.2
01-07-1963,86.5
01-08-1963,88.2
01-09-1963,102.8
01-10-1963,119.1
01-11-1963,119.2
01-12-1963,125.1
01-01-1964,106.1
01-02-1964,102.1
01-03-1964,105.2
01-04-1964,101
01-05-1964,84.3
01-06-1964,87.5
01-07-1964,92.7
01-08-1964,94.4
01-09-1964,113
01-10-1964,113.9
01-11-1964,122.9
01-12-1964,132.7
01-01-1965,106.9
01-02-1965,96.6
01-03-1965,127.3
01-04-1965,98.2
01-05-1965,100.2
01-06-1965,89.4
01-07-1965,95.3
01-08-1965,104.2
01-09-1965,106.4
01-10-1965,116.2
01-11-1965,135.9
01-12-1965,134
01-01-1966,104.6
01-02-1966,107.1
01-03-1966,123.5
01-04-1966,98.8
01-05-1966,98.6
01-06-1966,90.6
01-07-1966,89.1
01-08-1966,105.2
01-09-1966,114
01-10-1966,122.1
01-11-1966,138
01-12-1966,142.2
01-01-1967,116.4
01-02-1967,112.6
01-03-1967,123.8
01-04-1967,103.6
01-05-1967,113.9
01-06-1967,98.6
01-07-1967,95
01-08-1967,116
01-09-1967,113.9
01-10-1967,127.5
01-11-1967,131.4
01-12-1967,145.9
01-01-1968,131.5
01-02-1968,131
01-03-1968,130.5
01-04-1968,118.9
01-05-1968,114.3
01-06-1968,85.7
01-07-1968,104.6
01-08-1968,105.1
01-09-1968,117.3
01-10-1968,142.5
01-11-1968,140
01-12-1968,159.8
01-01-1969,131.2
01-02-1969,125.4
01-03-1969,126.5
01-04-1969,119.4
01-05-1969,113.5
01-06-1969,98.7
01-07-1969,114.5
01-08-1969,113.8
01-09-1969,133.1
01-10-1969,143.4
01-11-1969,137.3
01-12-1969,165.2
01-01-1970,126.9
01-02-1970,124
01-03-1970,135.7
01-04-1970,130
01-05-1970,109.4
01-06-1970,117.8
01-07-1970,120.3
01-08-1970,121
01-09-1970,132.3
01-10-1970,142.9
01-11-1970,147.4
01-12-1970,175.9
01-01-1971,132.6
01-02-1971,123.7
01-03-1971,153.3
01-04-1971,134
01-05-1971,119.6
01-06-1971,116.2
01-07-1971,118.6
01-08-1971,130.7
01-09-1971,129.3
01-10-1971,144.4
01-11-1971,163.2
01-12-1971,179.4
01-01-1972,128.1
01-02-1972,138.4
01-03-1972,152.7
01-04-1972,120
01-05-1972,140.5
01-06-1972,116.2
01-07-1972,121.4
01-08-1972,127.8
01-09-1972,143.6
01-10-1972,157.6
01-11-1972,166.2
01-12-1972,182.3
01-01-1973,153.1
01-02-1973,147.6
01-03-1973,157.7
01-04-1973,137.2
01-05-1973,151.5
01-06-1973,98.7
01-07-1973,145.8
01-08-1973,151.7
01-09-1973,129.4
01-10-1973,174.1
01-11-1973,197
01-12-1973,193.9
01-01-1974,164.1
01-02-1974,142.8
01-03-1974,157.9
01-04-1974,159.2
01-05-1974,162.2
01-06-1974,123.1
